"","Country_Region","Confirmed","Deaths","Recovered","Date"
"1478","Egypt",1,0,0,"02-14-2020"
"1553","Egypt",1,0,0,"02-15-2020"
"1628","Egypt",1,0,0,"02-16-2020"
"1703","Egypt",1,0,0,"02-17-2020"
"1778","Egypt",1,0,0,"02-18-2020"
"1854","Egypt",1,0,0,"02-19-2020"
"1930","Egypt",1,0,0,"02-20-2020"
"2010","Egypt",1,0,0,"02-21-2020"
"2094","Egypt",1,0,0,"02-22-2020"
"2178","Egypt",1,0,0,"02-23-2020"
"2264","Egypt",1,0,0,"02-24-2020"
"2353","Algeria",1,0,0,"02-25-2020"
"2358","Egypt",1,0,0,"02-25-2020"
"2454","Algeria",1,0,0,"02-26-2020"
"2459","Egypt",1,0,0,"02-26-2020"
"2558","Algeria",1,0,0,"02-27-2020"
"2564","Egypt",1,0,0,"02-27-2020"
"2666","Algeria",1,0,0,"02-28-2020"
"2674","Egypt",1,0,1,"02-28-2020"
"2684","Nigeria",1,0,0,"02-28-2020"
"2784","Algeria",1,0,0,"02-29-2020"
"2790","Egypt",1,0,1,"02-29-2020"
"2801","Nigeria",1,0,0,"02-29-2020"
"2905","Egypt",2,0,1,"03-01-2020"
"2912","Algeria",1,0,0,"03-01-2020"
"2927","Nigeria",1,0,0,"03-01-2020"
"3023","Algeria",3,0,0,"03-02-2020"
"3034","Egypt",2,0,1,"03-02-2020"
"3058","Morocco",1,0,0,"03-02-2020"
"3061","Nigeria",1,0,0,"03-02-2020"
"3064","Senegal",1,0,0,"03-02-2020"
"3161","Algeria",5,0,0,"03-03-2020"
"3175","Egypt",2,0,1,"03-03-2020"
"3180","Senegal",2,0,0,"03-03-2020"
"3207","Morocco",1,0,0,"03-03-2020"
"3210","Nigeria",1,0,0,"03-03-2020"
"3301","Algeria",12,0,0,"03-04-2020"
"3325","Senegal",4,0,0,"03-04-2020"
"3335","Egypt",2,0,1,"03-04-2020"
"3369","Morocco",1,0,0,"03-04-2020"
"3371","Nigeria",1,0,0,"03-04-2020"
"3376","Tunisia",1,0,0,"03-04-2020"
"3468","Algeria",12,0,0,"03-05-2020"
"3492","Senegal",4,0,0,"03-05-2020"
"3495","Egypt",3,0,1,"03-05-2020"
"3506","Morocco",2,0,0,"03-05-2020"
"3539","Nigeria",1,0,0,"03-05-2020"
"3542","South Africa",1,0,0,"03-05-2020"
"3544","Tunisia",1,0,0,"03-05-2020"
"3640","Algeria",17,0,0,"03-06-2020"
"3645","Egypt",15,0,1,"03-06-2020"
"3675","Senegal",4,0,0,"03-06-2020"
"3691","Morocco",2,0,0,"03-06-2020"
"3712","Cameroon",1,0,0,"03-06-2020"
"3726","Nigeria",1,0,0,"03-06-2020"
"3730","South Africa",1,0,0,"03-06-2020"
"3732","Togo",1,0,0,"03-06-2020"
"3733","Tunisia",1,0,0,"03-06-2020"
"3843","Algeria",17,0,0,"03-07-2020"
"3845","Egypt",15,0,1,"03-07-2020"
"3880","Senegal",4,0,0,"03-07-2020"
"3903","Morocco",2,0,0,"03-07-2020"
"3926","Cameroon",1,0,0,"03-07-2020"
"3941","Nigeria",1,0,0,"03-07-2020"
"3945","South Africa",1,0,0,"03-07-2020"
"3947","Togo",1,0,0,"03-07-2020"
"3948","Tunisia",1,0,0,"03-07-2020"
"4048","Egypt",49,1,1,"03-08-2020"
"4070","Algeria",19,0,0,"03-08-2020"
"4120","Senegal",4,0,1,"03-08-2020"
"4135","South Africa",3,0,0,"03-08-2020"
"4144","Cameroon",2,0,0,"03-08-2020"
"4148","Morocco",2,0,0,"03-08-2020"
"4149","Tunisia",2,0,0,"03-08-2020"
"4182","Nigeria",1,0,0,"03-08-2020"
"4186","Togo",1,0,0,"03-08-2020"
"4303","Egypt",55,1,12,"03-09-2020"
"4325","Algeria",20,0,0,"03-09-2020"
"4378","Senegal",4,0,1,"03-09-2020"
"4393","South Africa",3,0,0,"03-09-2020"
"4406","Cameroon",2,0,0,"03-09-2020"
"4410","Morocco",2,0,0,"03-09-2020"
"4411","Nigeria",2,0,0,"03-09-2020"
"4413","Tunisia",2,0,0,"03-09-2020"
"4450","Togo",1,0,0,"03-09-2020"
"4572","Egypt",59,1,1,"03-10-2020"
"4597","Algeria",20,0,0,"03-10-2020"
"4634","South Africa",7,0,0,"03-10-2020"
"4652","Tunisia",5,0,0,"03-10-2020"
"4656","Senegal",4,0,1,"03-10-2020"
"4662","Morocco",3,1,0,"03-10-2020"
"4671","Cameroon",2,0,0,"03-10-2020"
"4674","Nigeria",2,0,0,"03-10-2020"
"4685","Burkina Faso",1,0,0,"03-10-2020"
"4700","Togo",1,0,0,"03-10-2020"
"4785","Egypt",60,1,27,"03-11-2020"
"4812","Algeria",20,0,0,"03-11-2020"
"4827","South Africa",13,0,0,"03-11-2020"
"4859","Tunisia",7,0,0,"03-11-2020"
"4868","Morocco",5,1,0,"03-11-2020"
"4875","Senegal",4,0,1,"03-11-2020"
"4887","Burkina Faso",2,0,0,"03-11-2020"
"4888","Cameroon",2,0,0,"03-11-2020"
"4892","Nigeria",2,0,0,"03-11-2020"
"4904","Congo (Kinshasa)",1,0,0,"03-11-2020"
"4905","Cote d'Ivoire",1,0,0,"03-11-2020"
"4915","Togo",1,0,0,"03-11-2020"
"5001","Egypt",67,1,27,"03-12-2020"
"5025","Algeria",24,1,8,"03-12-2020"
"5046","South Africa",17,0,0,"03-12-2020"
"5081","Tunisia",7,0,0,"03-12-2020"
"5084","Morocco",6,1,0,"03-12-2020"
"5097","Senegal",4,0,1,"03-12-2020"
"5106","Burkina Faso",2,0,0,"03-12-2020"
"5107","Cameroon",2,0,0,"03-12-2020"
"5113","Nigeria",2,0,0,"03-12-2020"
"5125","Congo (Kinshasa)",1,0,0,"03-12-2020"
"5126","Cote d'Ivoire",1,0,0,"03-12-2020"
"5135","Togo",1,0,0,"03-12-2020"
"5190","Burkina Faso",2,0,0,"03-13-2020"
"5208","Congo (Kinshasa)",2,0,0,"03-13-2020"
"5211","Algeria",26,2,8,"03-13-2020"
"5244","Nigeria",2,0,0,"03-13-2020"
"5262","Egypt",80,2,27,"03-13-2020"
"5269","Senegal",10,0,1,"03-13-2020"
"5270","Ethiopia",1,0,0,"03-13-2020"
"5271","Sudan",1,1,0,"03-13-2020"
"5274","Guinea",1,0,0,"03-13-2020"
"5279","Morocco",7,1,1,"03-13-2020"
"5285","Kenya",1,0,0,"03-13-2020"
"5296","South Africa",24,0,0,"03-13-2020"
"5299","Cote d'Ivoire",1,0,0,"03-13-2020"
"5308","Cameroon",2,0,0,"03-13-2020"
"5310","Togo",1,0,0,"03-13-2020"
"5324","Tunisia",16,0,0,"03-13-2020"
"5448","Egypt",109,2,27,"03-14-2020"
"5488","South Africa",38,0,0,"03-14-2020"
"5489","Algeria",37,3,12,"03-14-2020"
"5522","Tunisia",18,0,0,"03-14-2020"
"5525","Morocco",17,1,1,"03-14-2020"
"5540","Senegal",10,0,1,"03-14-2020"
"5575","Ghana",3,0,0,"03-14-2020"
"5580","Burkina Faso",2,0,0,"03-14-2020"
"5581","Cameroon",2,0,0,"03-14-2020"
"5583","Congo (Kinshasa)",2,0,0,"03-14-2020"
"5588","Namibia",2,0,0,"03-14-2020"
"5589","Nigeria",2,0,0,"03-14-2020"
"5590","Seychelles",2,0,0,"03-14-2020"
"5604","Cote d'Ivoire",1,0,0,"03-14-2020"
"5606","Eswatini",1,0,0,"03-14-2020"
"5607","Ethiopia",1,0,0,"03-14-2020"
"5609","Gabon",1,0,0,"03-14-2020"
"5613","Guinea",1,0,0,"03-14-2020"
"5617","Kenya",1,0,0,"03-14-2020"
"5618","Mauritania",1,0,0,"03-14-2020"
"5621","Rwanda",1,0,0,"03-14-2020"
"5624","Sudan",1,1,0,"03-14-2020"
"5626","Togo",1,0,0,"03-14-2020"
"5702","Egypt",110,2,21,"03-15-2020"
"5729","South Africa",51,0,0,"03-15-2020"
"5732","Algeria",48,4,12,"03-15-2020"
"5756","Morocco",28,1,1,"03-15-2020"
"5775","Tunisia",18,0,0,"03-15-2020"
"5796","Senegal",24,0,1,"03-15-2020"
"5810","Ghana",6,0,0,"03-15-2020"
"5836","Burkina Faso",3,0,0,"03-15-2020"
"5837","Cameroon",2,0,0,"03-15-2020"
"5840","Congo (Kinshasa)",2,0,0,"03-15-2020"
"5845","Namibia",2,0,0,"03-15-2020"
"5846","Nigeria",2,0,0,"03-15-2020"
"5847","Seychelles",2,0,0,"03-15-2020"
"5857","Central African Republic",1,0,0,"03-15-2020"
"5859","Congo (Brazzaville)",1,0,0,"03-15-2020"
"5860","Cote d'Ivoire",1,0,0,"03-15-2020"
"5862","Equatorial Guinea",1,0,0,"03-15-2020"
"5863","Eswatini",1,0,0,"03-15-2020"
"5864","Ethiopia",1,0,0,"03-15-2020"
"5867","Gabon",1,0,0,"03-15-2020"
"5871","Guinea",1,0,0,"03-15-2020"
"5873","Kenya",3,0,0,"03-15-2020"
"5874","Mauritania",1,0,0,"03-15-2020"
"5877","Rwanda",1,0,0,"03-15-2020"
"5880","Sudan",1,1,0,"03-15-2020"
"5882","Togo",1,0,0,"03-15-2020"
"5954","Egypt",150,2,27,"03-16-2020"
"5988","South Africa",62,0,0,"03-16-2020"
"5995","Algeria",54,4,12,"03-16-2020"
"6026","Morocco",29,1,1,"03-16-2020"
"6032","Senegal",24,0,2,"03-16-2020"
"6041","Tunisia",20,0,0,"03-16-2020"
"6056","Burkina Faso",15,0,0,"03-16-2020"
"6085","Ghana",6,0,0,"03-16-2020"
"6092","Ethiopia",5,0,0,"03-16-2020"
"6094","Rwanda",5,0,0,"03-16-2020"
"6097","Cameroon",4,0,0,"03-16-2020"
"6106","Kenya",3,0,0,"03-16-2020"
"6108","Seychelles",3,0,0,"03-16-2020"
"6115","Congo (Kinshasa)",2,0,0,"03-16-2020"
"6120","Namibia",2,0,0,"03-16-2020"
"6121","Nigeria",2,0,0,"03-16-2020"
"6125","Benin",1,0,0,"03-16-2020"
"6129","Central African Republic",1,0,0,"03-16-2020"
"6131","Congo (Brazzaville)",1,0,0,"03-16-2020"
"6132","Cote d'Ivoire",1,0,0,"03-16-2020"
"6133","Equatorial Guinea",1,0,0,"03-16-2020"
"6134","Eswatini",1,0,0,"03-16-2020"
"6136","Gabon",1,0,0,"03-16-2020"
"6139","Guinea",1,0,0,"03-16-2020"
"6141","Liberia",1,0,0,"03-16-2020"
"6142","Mauritania",1,0,0,"03-16-2020"
"6143","Mayotte",1,0,0,"03-16-2020"
"6149","Somalia",1,0,0,"03-16-2020"
"6150","Sudan",1,1,0,"03-16-2020"
"6152","Tanzania",1,0,0,"03-16-2020"
"6154","Togo",1,0,0,"03-16-2020"
"6221","Egypt",196,4,32,"03-17-2020"
"6279","South Africa",62,0,0,"03-17-2020"
"6280","Algeria",60,4,12,"03-17-2020"
"6300","Morocco",38,2,1,"03-17-2020"
"6316","Senegal",26,0,2,"03-17-2020"
"6321","Tunisia",24,0,0,"03-17-2020"
"6339","Burkina Faso",15,0,0,"03-17-2020"
"6352","Cameroon",10,0,0,"03-17-2020"
"6368","Ghana",7,0,0,"03-17-2020"
"6372","Rwanda",7,0,0,"03-17-2020"
"6376","Cote d'Ivoire",5,0,1,"03-17-2020"
"6378","Ethiopia",5,0,0,"03-17-2020"
"6382","Seychelles",4,0,0,"03-17-2020"
"6385","Congo (Kinshasa)",3,0,0,"03-17-2020"
"6389","Kenya",3,0,0,"03-17-2020"
"6391","Nigeria",3,0,0,"03-17-2020"
"6401","Namibia",2,0,0,"03-17-2020"
"6406","Benin",1,0,0,"03-17-2020"
"6409","Central African Republic",1,0,0,"03-17-2020"
"6411","Congo (Brazzaville)",1,0,0,"03-17-2020"
"6412","Equatorial Guinea",1,0,0,"03-17-2020"
"6413","Eswatini",1,0,0,"03-17-2020"
"6415","Gabon",1,0,0,"03-17-2020"
"6417","Guinea",1,0,0,"03-17-2020"
"6419","Liberia",1,0,0,"03-17-2020"
"6420","Mauritania",1,0,0,"03-17-2020"
"6421","Mayotte",1,0,0,"03-17-2020"
"6424","Somalia",1,0,0,"03-17-2020"
"6425","Sudan",1,1,0,"03-17-2020"
"6427","Tanzania",1,0,0,"03-17-2020"
"6430","Togo",1,0,0,"03-17-2020"
"6505","Egypt",196,6,32,"03-18-2020"
"6528","South Africa",116,0,0,"03-18-2020"
"6557","Algeria",74,7,12,"03-18-2020"
"6574","Morocco",49,2,1,"03-18-2020"
"6594","Senegal",31,0,2,"03-18-2020"
"6597","Tunisia",29,0,0,"03-18-2020"
"6611","Burkina Faso",20,1,0,"03-18-2020"
"6638","Cameroon",10,0,0,"03-18-2020"
"6643","Nigeria",8,0,1,"03-18-2020"
"6644","Rwanda",8,0,0,"03-18-2020"
"6647","Ghana",7,0,0,"03-18-2020"
"6651","Cote d'Ivoire",6,0,1,"03-18-2020"
"6652","Ethiopia",6,0,0,"03-18-2020"
"6661","Congo (Kinshasa)",4,0,0,"03-18-2020"
"6662","Equatorial Guinea",4,0,0,"03-18-2020"
"6663","Seychelles",4,0,0,"03-18-2020"
"6669","Kenya",3,0,0,"03-18-2020"
"6671","Mauritius",3,0,0,"03-18-2020"
"6672","Mayotte",3,0,0,"03-18-2020"
"6674","Tanzania",3,0,0,"03-18-2020"
"6676","Benin",2,0,0,"03-18-2020"
"6678","Liberia",2,0,0,"03-18-2020"
"6679","Namibia",2,0,0,"03-18-2020"
"6682","Sudan",2,1,0,"03-18-2020"
"6685","Zambia",2,0,0,"03-18-2020"
"6690","Central African Republic",1,0,0,"03-18-2020"
"6692","Congo (Brazzaville)",1,0,0,"03-18-2020"
"6693","Djibouti",1,0,0,"03-18-2020"
"6694","Eswatini",1,0,0,"03-18-2020"
"6695","Gabon",1,0,0,"03-18-2020"
"6698","Guinea",1,0,0,"03-18-2020"
"6700","Mauritania",1,0,0,"03-18-2020"
"6704","Somalia",1,0,0,"03-18-2020"
"6707","Togo",1,0,0,"03-18-2020"
"6790","Egypt",256,6,32,"03-19-2020"
"6810","South Africa",150,0,0,"03-19-2020"
"6841","Algeria",87,9,32,"03-19-2020"
"6859","Morocco",63,2,1,"03-19-2020"
"6884","Tunisia",39,1,0,"03-19-2020"
"6891","Burkina Faso",33,1,0,"03-19-2020"
"6893","Senegal",31,0,2,"03-19-2020"
"6915","Congo (Kinshasa)",14,0,0,"03-19-2020"
"6917","Cameroon",13,0,0,"03-19-2020"
"6925","Ghana",11,0,0,"03-19-2020"
"6934","Cote d'Ivoire",9,0,1,"03-19-2020"
"6938","Nigeria",8,0,1,"03-19-2020"
"6939","Rwanda",8,0,0,"03-19-2020"
"6941","Kenya",7,0,0,"03-19-2020"
"6943","Equatorial Guinea",6,0,0,"03-19-2020"
"6944","Ethiopia",6,0,0,"03-19-2020"
"6947","Seychelles",6,0,0,"03-19-2020"
"6948","Tanzania",6,0,0,"03-19-2020"
"6956","Congo (Brazzaville)",3,0,0,"03-19-2020"
"6959","Mauritius",3,0,0,"03-19-2020"
"6960","Mayotte",3,0,0,"03-19-2020"
"6962","Namibia",3,0,0,"03-19-2020"
"6966","Benin",2,0,0,"03-19-2020"
"6971","Liberia",2,0,0,"03-19-2020"
"6972","Mauritania",2,0,0,"03-19-2020"
"6975","Sudan",2,1,0,"03-19-2020"
"6979","Zambia",2,0,0,"03-19-2020"
"6983","Central African Republic",1,0,0,"03-19-2020"
"6984","Chad",1,0,0,"03-19-2020"
"6986","Djibouti",1,0,0,"03-19-2020"
"6988","Eswatini",1,0,0,"03-19-2020"
"6990","Gabon",1,0,0,"03-19-2020"
"6992","Guinea",1,0,0,"03-19-2020"
"6997","Somalia",1,0,0,"03-19-2020"
"6999","Togo",1,0,0,"03-19-2020"
"7085","Egypt",285,8,39,"03-20-2020"
"7098","South Africa",202,0,0,"03-20-2020"
"7138","Algeria",90,11,32,"03-20-2020"
"7150","Morocco",77,3,1,"03-20-2020"
"7166","Tunisia",54,1,0,"03-20-2020"
"7185","Burkina Faso",40,1,0,"03-20-2020"
"7187","Senegal",38,0,2,"03-20-2020"
"7202","Cameroon",20,0,0,"03-20-2020"
"7207","Congo (Kinshasa)",18,0,0,"03-20-2020"
"7210","Rwanda",17,0,0,"03-20-2020"
"7212","Ghana",16,0,0,"03-20-2020"
"7226","Mauritius",12,0,0,"03-20-2020"
"7227","Nigeria",12,0,1,"03-20-2020"
"7235","Cote d'Ivoire",9,0,1,"03-20-2020"
"7236","Ethiopia",9,0,0,"03-20-2020"
"7237","Togo",9,0,1,"03-20-2020"
"7240","Kenya",7,0,0,"03-20-2020"
"7241","Seychelles",7,0,0,"03-20-2020"
"7244","Equatorial Guinea",6,0,0,"03-20-2020"
"7246","Mayotte",6,0,0,"03-20-2020"
"7248","Tanzania",6,0,0,"03-20-2020"
"7256","Central African Republic",3,0,0,"03-20-2020"
"7257","Congo (Brazzaville)",3,0,0,"03-20-2020"
"7259","Gabon",3,1,0,"03-20-2020"
"7260","Madagascar",3,0,0,"03-20-2020"
"7261","Namibia",3,0,0,"03-20-2020"
"7265","Benin",2,0,0,"03-20-2020"
"7272","Liberia",2,0,0,"03-20-2020"
"7273","Mauritania",2,0,0,"03-20-2020"
"7275","Sudan",2,1,0,"03-20-2020"
"7277","Zambia",2,0,0,"03-20-2020"
"7278","Angola",1,0,0,"03-20-2020"
"7281","Chad",1,0,0,"03-20-2020"
"7283","Djibouti",1,0,0,"03-20-2020"
"7285","Eswatini",1,0,0,"03-20-2020"
"7288","Guinea",1,0,0,"03-20-2020"
"7293","Niger",1,0,0,"03-20-2020"
"7296","Somalia",1,0,0,"03-20-2020"
"7300","Zimbabwe",1,0,0,"03-20-2020"
"7391","Egypt",294,10,41,"03-21-2020"
"7398","South Africa",240,0,0,"03-21-2020"
"7427","Algeria",139,15,32,"03-21-2020"
"7444","Morocco",96,3,3,"03-21-2020"
"7472","Burkina Faso",64,2,5,"03-21-2020"
"7473","Tunisia",60,1,0,"03-21-2020"
"7486","Senegal",47,0,5,"03-21-2020"
"7500","Cameroon",27,0,0,"03-21-2020"
"7505","Congo (Kinshasa)",23,1,0,"03-21-2020"
"7508","Nigeria",22,0,1,"03-21-2020"
"7514","Ghana",19,1,0,"03-21-2020"
"7522","Rwanda",17,0,0,"03-21-2020"
"7525","Togo",16,0,1,"03-21-2020"
"7529","Cote d'Ivoire",14,0,1,"03-21-2020"
"7531","Mauritius",14,1,0,"03-21-2020"
"7540","Ethiopia",9,0,0,"03-21-2020"
"7543","Kenya",7,0,0,"03-21-2020"
"7544","Mayotte",7,0,0,"03-21-2020"
"7545","Seychelles",7,0,0,"03-21-2020"
"7548","Equatorial Guinea",6,0,0,"03-21-2020"
"7549","Tanzania",6,0,0,"03-21-2020"
"7555","Gabon",4,1,0,"03-21-2020"
"7559","Central African Republic",3,0,0,"03-21-2020"
"7560","Congo (Brazzaville)",3,0,0,"03-21-2020"
"7563","Liberia",3,0,0,"03-21-2020"
"7564","Madagascar",3,0,0,"03-21-2020"
"7565","Namibia",3,0,0,"03-21-2020"
"7568","Zimbabwe",3,0,0,"03-21-2020"
"7569","Angola",2,0,0,"03-21-2020"
"7570","Benin",2,0,0,"03-21-2020"
"7574","Guinea",2,0,0,"03-21-2020"
"7577","Mauritania",2,0,0,"03-21-2020"
"7580","Sudan",2,1,0,"03-21-2020"
"7582","Zambia",2,0,0,"03-21-2020"
"7585","Cape Verde",1,0,0,"03-21-2020"
"7586","Chad",1,0,0,"03-21-2020"
"7588","Djibouti",1,0,0,"03-21-2020"
"7590","Eritrea",1,0,0,"03-21-2020"
"7591","Eswatini",1,0,0,"03-21-2020"
"7597","Niger",1,0,0,"03-21-2020"
"7600","Somalia",1,0,0,"03-21-2020"
"7602","Uganda",1,0,0,"03-21-2020"
"3277","Egypt",327,14,56,"03-22-2020"
"3280","South Africa",274,0,2,"03-22-2020"
"3289","Algeria",201,17,65,"03-22-2020"
"3302","Morocco",115,4,3,"03-22-2020"
"3317","Burkina Faso",75,4,5,"03-22-2020"
"3318","Tunisia",75,3,1,"03-22-2020"
"3321","Senegal",67,0,5,"03-22-2020"
"3331","Cameroon",40,0,2,"03-22-2020"
"3336","Congo (Kinshasa)",30,1,0,"03-22-2020"
"3337","Nigeria",30,0,2,"03-22-2020"
"3338","Mauritius",28,2,0,"03-22-2020"
"3342","Ghana",23,1,0,"03-22-2020"
"3348","Rwanda",19,0,0,"03-22-2020"
"3351","Togo",16,0,0,"03-22-2020"
"3354","Kenya",15,0,0,"03-22-2020"
"3356","Cote d'Ivoire",14,0,1,"03-22-2020"
"3359","Tanzania",12,0,0,"03-22-2020"
"3360","Ethiopia",11,0,0,"03-22-2020"
"3364","Seychelles",7,0,0,"03-22-2020"
"3365","Equatorial Guinea",6,0,0,"03-22-2020"
"3366","Gabon",5,1,0,"03-22-2020"
"3373","Eswatini",4,0,0,"03-22-2020"
"3377","Central African Republic",3,0,0,"03-22-2020"
"3378","Congo (Brazzaville)",3,0,0,"03-22-2020"
"3380","Liberia",3,0,0,"03-22-2020"
"3381","Madagascar",3,0,0,"03-22-2020"
"3382","Namibia",3,0,0,"03-22-2020"
"3384","Zambia",3,0,0,"03-22-2020"
"3385","Zimbabwe",3,0,0,"03-22-2020"
"3386","Sudan",2,1,0,"03-22-2020"
"3387","Angola",2,0,0,"03-22-2020"
"3388","Benin",2,0,0,"03-22-2020"
"3392","Guinea",2,0,0,"03-22-2020"
"3394","Mauritania",2,0,0,"03-22-2020"
"3396","Niger",2,0,0,"03-22-2020"
"3400","Chad",1,0,0,"03-22-2020"
"3401","Djibouti",1,0,0,"03-22-2020"
"3403","Eritrea",1,0,0,"03-22-2020"
"3404","Gambia",1,0,0,"03-22-2020"
"3408","Mozambique",1,0,0,"03-22-2020"
"3412","Somalia",1,0,0,"03-22-2020"
"3415","Uganda",1,0,0,"03-22-2020"
"3254","Algeria",230,17,65,"03-23-2020"
"3256","Angola",3,0,0,"03-23-2020"
"3269","Benin",5,0,0,"03-23-2020"
"3276","Burkina Faso",99,4,5,"03-23-2020"
"3279","Cameroon",56,0,2,"03-23-2020"
"32801","Central African Republic",3,0,0,"03-23-2020"
"3281","Chad",1,0,0,"03-23-2020"
"3284","Congo (Brazzaville)",4,0,0,"03-23-2020"
"3285","Congo (Kinshasa)",36,1,0,"03-23-2020"
"3287","Cote d'Ivoire",25,0,2,"03-23-2020"
"3293","Djibouti",3,0,0,"03-23-2020"
"3297","Egypt",366,19,68,"03-23-2020"
"3299","Equatorial Guinea",9,0,0,"03-23-2020"
"3300","Eritrea",1,0,0,"03-23-2020"
"33021","Eswatini",4,0,0,"03-23-2020"
"3303","Ethiopia",11,0,0,"03-23-2020"
"3306","Gabon",5,1,0,"03-23-2020"
"3307","Gambia",2,1,0,"03-23-2020"
"3310","Ghana",27,2,0,"03-23-2020"
"3314","Guinea",4,0,0,"03-23-2020"
"3332","Kenya",16,0,0,"03-23-2020"
"33381","Liberia",3,0,0,"03-23-2020"
"33421","Madagascar",12,0,0,"03-23-2020"
"3346","Mauritania",2,0,0,"03-23-2020"
"3347","Mauritius",36,2,0,"03-23-2020"
"3353","Morocco",143,4,5,"03-23-2020"
"33541","Mozambique",1,0,0,"03-23-2020"
"3355","Namibia",4,0,0,"03-23-2020"
"33601","Niger",3,0,0,"03-23-2020"
"3361","Nigeria",40,1,2,"03-23-2020"
"33766","Rwanda",36,0,0,"03-23-2020"
"33811","Senegal",79,0,8,"03-23-2020"
"3383","Seychelles",7,0,0,"03-23-2020"
"33871","Somalia",1,0,0,"03-23-2020"
"33881","South Africa",402,0,4,"03-23-2020"
"3391","Sudan",2,1,0,"03-23-2020"
"3397","Tanzania",12,0,0,"03-23-2020"
"34001","Togo",18,0,0,"03-23-2020"
"3402","Tunisia",89,3,1,"03-23-2020"
"34041","Uganda",9,0,0,"03-23-2020"
"34121","Zambia",3,0,0,"03-23-2020"
"3413","Zimbabwe",3,1,0,"03-23-2020"
"32541","Algeria",264,19,24,"03-24-2020"
"32561","Angola",3,0,0,"03-24-2020"
"32691","Benin",6,0,0,"03-24-2020"
"32761","Burkina Faso",114,4,7,"03-24-2020"
"32791","Cameroon",66,0,2,"03-24-2020"
"32802","Central African Republic",3,0,0,"03-24-2020"
"32811","Chad",3,0,0,"03-24-2020"
"32841","Congo (Brazzaville)",4,0,0,"03-24-2020"
"32851","Congo (Kinshasa)",45,2,0,"03-24-2020"
"32871","Cote d'Ivoire",73,0,2,"03-24-2020"
"32931","Djibouti",3,0,0,"03-24-2020"
"32971","Egypt",402,20,80,"03-24-2020"
"32991","Equatorial Guinea",9,0,0,"03-24-2020"
"33001","Eritrea",1,0,0,"03-24-2020"
"33022","Eswatini",4,0,0,"03-24-2020"
"33031","Ethiopia",12,0,0,"03-24-2020"
"33071","Gabon",6,1,0,"03-24-2020"
"3308","Gambia",3,1,0,"03-24-2020"
"3311","Ghana",53,2,0,"03-24-2020"
"3315","Guinea",4,0,0,"03-24-2020"
"3333","Kenya",25,0,0,"03-24-2020"
"3340","Liberia",3,0,0,"03-24-2020"
"3341","Libya",1,0,0,"03-24-2020"
"3345","Madagascar",17,0,0,"03-24-2020"
"3349","Mauritania",2,0,0,"03-24-2020"
"3350","Mauritius",42,2,0,"03-24-2020"
"33561","Morocco",170,5,6,"03-24-2020"
"3357","Mozambique",3,0,0,"03-24-2020"
"3358","Namibia",7,0,2,"03-24-2020"
"3363","Niger",3,0,0,"03-24-2020"
"33641","Nigeria",44,1,2,"03-24-2020"
"3379","Rwanda",40,0,0,"03-24-2020"
"33841","Senegal",86,0,8,"03-24-2020"
"33861","Seychelles",7,0,0,"03-24-2020"
"3390","Somalia",1,0,0,"03-24-2020"
"33911","South Africa",554,0,4,"03-24-2020"
"33941","Sudan",3,1,0,"03-24-2020"
"34002","Tanzania",12,0,0,"03-24-2020"
"34031","Togo",20,0,1,"03-24-2020"
"3405","Tunisia",114,4,1,"03-24-2020"
"3407","Uganda",9,0,0,"03-24-2020"
"34151","Zambia",3,0,0,"03-24-2020"
"3416","Zimbabwe",3,1,0,"03-24-2020"
"32542","Algeria",302,21,65,"03-25-2020"
"32562","Angola",3,0,0,"03-25-2020"
"32692","Benin",6,0,0,"03-25-2020"
"32762","Burkina Faso",146,4,10,"03-25-2020"
"32792","Cameroon",75,1,2,"03-25-2020"
"32803","Central African Republic",3,0,0,"03-25-2020"
"32812","Chad",3,0,0,"03-25-2020"
"32842","Congo (Brazzaville)",4,0,0,"03-25-2020"
"32852","Congo (Kinshasa)",48,2,0,"03-25-2020"
"32872","Cote d'Ivoire",80,0,3,"03-25-2020"
"3294","Djibouti",11,0,0,"03-25-2020"
"3298","Egypt",456,21,95,"03-25-2020"
"33002","Equatorial Guinea",9,0,0,"03-25-2020"
"33015","Eritrea",4,0,0,"03-25-2020"
"33032","Eswatini",4,0,0,"03-25-2020"
"3304","Ethiopia",12,0,0,"03-25-2020"
"33081","Gabon",6,1,0,"03-25-2020"
"3309","Gambia",3,1,0,"03-25-2020"
"3312","Ghana",93,4,0,"03-25-2020"
"3316","Guinea",4,0,0,"03-25-2020"
"33171","Guinea-Bissau",2,0,0,"03-25-2020"
"33354","Kenya",28,0,1,"03-25-2020"
"33422","Liberia",3,0,0,"03-25-2020"
"3343","Libya",1,0,0,"03-25-2020"
"33471","Madagascar",19,0,0,"03-25-2020"
"33501","Mali",2,0,0,"03-25-2020"
"3352","Mauritania",2,0,0,"03-25-2020"
"33531","Mauritius",48,2,0,"03-25-2020"
"33591","Morocco",225,6,7,"03-25-2020"
"33602","Mozambique",5,0,0,"03-25-2020"
"33611","Namibia",7,0,2,"03-25-2020"
"33661","Niger",7,1,0,"03-25-2020"
"3367","Nigeria",51,1,2,"03-25-2020"
"33821","Rwanda",41,0,0,"03-25-2020"
"33882","Senegal",99,0,9,"03-25-2020"
"33901","Seychelles",7,0,0,"03-25-2020"
