"","Est","Var","Country","Date","Exposure","Upper","Lower"
"523",8.82282394307966,0.171614195880512,"Kenya",2020-06-23,103,9.16605233484068,8.47959555131863
"524",8.87792772733418,0.177978911173449,"Kenya",2020-06-24,104,9.23388554968108,8.52196990498728
"525",8.93416325430495,0.179119109851613,"Kenya",2020-06-25,105,9.29240147400817,8.57592503460172
"526",8.98816806363934,0.186834514316033,"Kenya",2020-06-26,106,9.36183709227141,8.61449903500728
"527",1.3103282716148,0.130116442618436,"Lesotho",2020-06-06,25,1.57056115685168,1.05009538637793
"528",1.37897802201584,0.134210947238589,"Lesotho",2020-06-07,26,1.64739991649302,1.11055612753866
"529",1.43712931321501,0.136608166099924,"Lesotho",2020-06-08,27,1.71034564541486,1.16391298101516
"530",1.50292156024811,0.137032290254848,"Lesotho",2020-06-09,28,1.77698614075781,1.22885697973842
"531",1.57072550350177,0.141359611477351,"Lesotho",2020-06-10,29,1.85344472645648,1.28800628054707
"532",1.63441454370753,0.142772552723918,"Lesotho",2020-06-11,30,1.91995964915536,1.34886943825969
"533",1.69998034327802,0.14602110173455,"Lesotho",2020-06-12,31,1.99202254674712,1.40793813980892
"534",1.76440762524389,0.147822704078825,"Lesotho",2020-06-13,32,2.06005303340154,1.46876221708624
"535",1.83194127272135,0.150253726103764,"Lesotho",2020-06-14,33,2.13244872492888,1.53143382051382
"536",1.89840867023084,0.152913622524657,"Lesotho",2020-06-15,34,2.20423591528015,1.59258142518152
"537",1.96101742400428,0.153539910341564,"Lesotho",2020-06-16,35,2.2680972446874,1.65393760332115
"538",2.02385467853047,0.157875520125945,"Lesotho",2020-06-17,36,2.33960571878236,1.70810363827857
"539",2.08707852315494,0.161464181396998,"Lesotho",2020-06-18,37,2.41000688594894,1.76415016036095
"540",2.15498136767258,0.159291431101413,"Lesotho",2020-06-19,38,2.4735642298754,1.83639850546975
"541",2.22122337136389,0.164585990999962,"Lesotho",2020-06-20,39,2.55039535336381,1.89205138936397
"542",2.28795812115735,0.167396739636944,"Lesotho",2020-06-21,40,2.62275160043124,1.95316464188346
"543",2.34834971690615,0.170429731322823,"Lesotho",2020-06-22,41,2.6892091795518,2.00749025426051
"544",2.41570734207406,0.175183945692657,"Lesotho",2020-06-23,42,2.76607523345938,2.06533945068875
"545",2.47965568214653,0.179052495135964,"Lesotho",2020-06-24,43,2.83776067241846,2.1215506918746
"546",2.54520236889947,0.181549362066655,"Lesotho",2020-06-25,44,2.90830109303278,2.18210364476616
"547",2.60870906477827,0.183508525161718,"Lesotho",2020-06-26,45,2.97572611510171,2.24169201445484
"548",5.79703216045443,0.129920530162267,"Liberia",2020-06-06,83,6.05687322077896,5.53719110012989
"549",5.81603297638118,0.132493470309514,"Liberia",2020-06-07,84,6.0810199170002,5.55104603576215
"550",5.83952433087216,0.135192186840802,"Liberia",2020-06-08,85,6.10990870455376,5.56913995719055
"551",5.86001847210252,0.136785207642465,"Liberia",2020-06-09,86,6.13358888738745,5.58644805681759
"552",5.87870973543276,0.136384712925747,"Liberia",2020-06-10,87,6.15147916128426,5.60594030958127
"553",5.89486553790757,0.140302400111832,"Liberia",2020-06-11,88,6.17547033813124,5.61426073768391
"554",5.91343502195885,0.143822820583099,"Liberia",2020-06-12,89,6.20108066312505,5.62578938079265
