"","Est","Var","Country","Date","Upper","Lower"
"683",6.31764733416776,0.0644474906156653,"Mauritius",2020-12-24,6.44654231539909,6.18875235293643
"684",6.32135902468818,0.0640358004944508,"Mauritius",2020-12-25,6.44943062567708,6.19328742369927
"685",6.32556535346108,0.0649777158043967,"Mauritius",2020-12-26,6.45552078506987,6.19560992185229
"686",6.32939686754836,0.0657387287548772,"Mauritius",2020-12-27,6.46087432505812,6.19791941003861
"687",6.33295563228237,0.0658051666613441,"Mauritius",2020-12-28,6.46456596560506,6.20134529895969
"688",6.33665824613839,0.0663623481367305,"Mauritius",2020-12-29,6.46938294241186,6.20393354986493
"689",6.34096342822437,0.0666689609526013,"Mauritius",2020-12-30,6.47430135012958,6.20762550631917
"690",6.34601731881841,0.0671062614503823,"Mauritius",2020-12-31,6.48022984171917,6.21180479591764
"691",6.34814180976466,0.0682425314762274,"Mauritius",2021-01-01,6.48462687271712,6.21165674681221
"692",6.35396170556641,0.068025579016721,"Mauritius",2021-01-02,6.49001286359985,6.21791054753297
"693",6.35654349851662,0.0686211633412493,"Mauritius",2021-01-03,6.49378582519912,6.21930117183413
"694",12.9291253193699,0.0588598056361715,"Morocco",2020-12-14,13.0468449306422,12.8114057080976
"695",12.9426982707934,0.062108327859515,"Morocco",2020-12-15,13.0669149265125,12.8184816150744
"696",12.9518263990728,0.0605991242491072,"Morocco",2020-12-16,13.0730246475711,12.8306281505746
"697",12.9624344137412,0.0625727898816887,"Morocco",2020-12-17,13.0875799935046,12.8372888339778
"698",12.9714798729856,0.0633575714074034,"Morocco",2020-12-18,13.0981950158004,12.8447647301708
"699",12.9844151076852,0.0645057727634427,"Morocco",2020-12-19,13.1134266532121,12.8554035621583
"700",12.9964148861714,0.0652410012297452,"Morocco",2020-12-20,13.1268968886309,12.8659328837119
"701",13.0071222644937,0.0663570775489047,"Morocco",2020-12-21,13.1398364195915,12.8744081093959
"702",13.0171467087305,0.0666625689206883,"Morocco",2020-12-22,13.1504718465719,12.8838215708892
"703",13.0261539534985,0.0668372848628481,"Morocco",2020-12-23,13.1598285232242,12.8924793837728
"704",13.0407753248642,0.0683803253795755,"Morocco",2020-12-24,13.1775359756233,12.904014674105
"705",13.0483084608844,0.0706536483194544,"Morocco",2020-12-25,13.1896157575233,12.9070011642455
