"","Est","Var","Country","Date","Upper","Lower"
"215",9.08243443337802,0.0586134256226742,"Congo (Brazzaville)","2021-02-22",9.19966128462337,8.96520758213267
"216",9.08626384292392,0.059868385995582,"Congo (Brazzaville)","2021-02-23",9.20600061491508,8.96652707093275
"217",9.08938462713291,0.0591330449425186,"Congo (Brazzaville)","2021-02-24",9.20765071701794,8.97111853724787
"218",9.09647012108153,0.0597944528360689,"Congo (Brazzaville)","2021-02-25",9.21605902675367,8.97688121540939
"219",9.09794553986619,0.0600237705640985,"Congo (Brazzaville)","2021-02-26",9.21799308099439,8.97789799873799
"220",9.10527812840532,0.0605701229323032,"Congo (Brazzaville)","2021-02-27",9.22641837426992,8.98413788254071
"221",9.10896355099285,0.0613170457672014,"Congo (Brazzaville)","2021-02-28",9.23159764252725,8.98632945945845
"222",9.11358355521379,0.0600611148637465,"Congo (Brazzaville)","2021-03-01",9.23370578494128,8.9934613254863
"223",9.11826358265413,0.0611174481956587,"Congo (Brazzaville)","2021-03-02",9.24049847904545,8.99602868626281
"224",9.12077715049799,0.0604916767554236,"Congo (Brazzaville)","2021-03-03",9.24176050400883,8.99979379698714
"225",9.12718846557744,0.0622543757804044,"Congo (Brazzaville)","2021-03-04",9.25169721713825,9.00267971401663
"226",9.13148637870123,0.0610261720823696,"Congo (Brazzaville)","2021-03-05",9.25353872286597,9.00943403453649
"227",9.1354463555032,0.0612094366071299,"Congo (Brazzaville)","2021-03-06",9.25786522871746,9.01302748228894
"228",9.13954467068026,0.0608184833625732,"Congo (Brazzaville)","2021-03-07",9.26118163740541,9.01790770395512
"229",9.14534328902735,0.0627437854251223,"Congo (Brazzaville)","2021-03-08",9.2708308598776,9.01985571817711
"230",9.14827010567681,0.0613494901770881,"Congo (Brazzaville)","2021-03-09",9.27096908603099,9.02557112532263
"231",9.15260894868953,0.0610553352318308,"Congo (Brazzaville)","2021-03-10",9.27471961915319,9.03049827822587
"232",10.121916920515,0.0601828014908396,"Congo (Kinshasa)","2021-02-18",10.2422825234966,10.0015513175333
"233",10.1276673974294,0.060822019326539,"Congo (Kinshasa)","2021-02-19",10.2493114360824,10.0060233587763
"234",10.1310024096174,0.0617572427910045,"Congo (Kinshasa)","2021-02-20",10.2545168951994,10.0074879240354
"235",10.13644739605,0.0602078538517569,"Congo (Kinshasa)","2021-02-21",10.2568631037535,10.0160316883465
"236",10.1428454027787,0.0624607965237477,"Congo (Kinshasa)","2021-02-22",10.2677669958262,10.0179238097312
